Name,Id,sentences,words
Before Midnight,2209418,2331,15998
John Carter,0401729,1314,7829
The Conspirator,0968264,1782,12321
The Iron Lady,1007029,1017,8459
Battle for the Planet of the Apes,0069768,379,3682
Mean Girls,0377092,1974,12454
Who s Your Daddy,0287138,1618,10807
The Cincinnati Kid,0059037,1624,12082
Priest,0822847,1067,6307
The Beaver,1321860,1504,11688
I Still Know What You Did Last Summer,0130018,1107,6595
Being John Malkovich,0120601,1640,9416
Killing Zoe,0110265,1371,7482
After the Wedding,7985692,1488,9097
The 7th Voyage of Sinbad,0051337,793,6801
Sully,3263904,1370,8044
S Darko,1231277,1028,6458
The Great Outdoors,0095253,1824,10896
Hustle Flow,0410097,2022,13088
Scent of a Woman,0105323,2090,13831
Hard Candy,0424136,1633,14884
Rambling Rose,0102753,1831,15951
Bad Boys for Life,1502397,1343,9293
Yes Man,1068680,2085,12025
Pitch Perfect 2,2848292,1655,12265
Atonement,0783233,1091,7069
The Low Life,0110400,1000,5442
Star Trek,0796366,1638,13197
Bill Ted s Bogus Journey,0101452,1222,6987
The Saint,0055701,1784,10433
Crazylove,0416658,1599,9032
Novitiate,4513316,1421,12446
Star Wars Episode I The Phantom Menace,0120915,1601,11743
The Doors,0101761,2050,18232
Three Billboards Outside Ebbing Missouri,5027774,1240,9453
Two for the Money,0417217,2290,15929
Battlefield Earth,0185183,878,8746
The Dark Knight,0468569,2087,14621
Barely Legal,0302297,1967,10093
Honey Boy,8151874,1196,7354
Good Will Hunting,0119217,1868,14039
Brightburn,7752126,979,4806
Seven Psychopaths,1931533,1609,11408
The Phantom of the Opera,0293508,1000,13255
What Price Hollywood,0023686,1542,12806
Pet Sematary,0837563,949,4630
Shadow Dancer,1770734,1578,8814
Boogie Nights,0118749,3769,13905
Noah,1959490,1435,7181
Ordinary People,0081283,2612,11923
Knight Moves,0104627,1750,11200
Can You Ever Forgive Me,4595882,2081,12894
Traffic,0181865,1801,13654
Four Rooms,0113101,1605,11602
On Golden Pond,0082846,2289,12311
The Adventures of Ford Fairlane,0098987,1325,8785
Arctic Blue,0106303,1078,7369
It s Kind of a Funny Story,0804497,1675,10627
Milk,1013753,1634,12059
The Ice Storm,0119349,1220,8782
Gone with the Wind,0031381,7211,52249
Beaches,0094715,1399,11076
The Tourist,1243957,972,5377
Vegas Baby,0432373,1370,7842
Romeo Juliet,0117509,989,8124
Sicario,3397884,1403,7549
Friday the 13th,0758746,728,3646
City of Joy,0103976,1545,9749
Out of the Blue Part 1,2542334,1255,6314
Rock Rule,0086203,915,9460
Preacher,5016504,1273,10514
Inside Llewyn Davis,2042568,1493,7984
Secretariat,1028576,1449,10775
The Danish Girl,0810819,1005,6222
Jurassic World,0369610,817,6931
Tully,5610554,1442,8206
Gladiator,0172495,1172,8852
Coraline,0327597,1092,5701
The Front Runner,7074886,1851,12545
The Love Witch,3908142,1278,6035
Final Analysis,0104265,1407,9612
Midway,6924650,1491,10193
Cherry,9130508,2112,13448
Nashville,0073440,1281,7504
The Last Station,0824758,1533,8465
Hellraiser Deader,0337636,892,5797
Take Shelter,1675192,1163,5455
The Addams Family,0101272,433,2366
The Girl Next Door,0265208,894,6138
How Do You Know,1341188,1814,14667
Flight,1907668,2083,13265
Charlie s Angels,0160127,1114,6552
The Suite Life on Deck,1181917,1321,11246
