Name,Id,Sentiment_score_average,Sentiment_score_mean_squared_deviation,Sentiment_num_turns,Scenes_count
The Changeling,0080516,0.04312962962962964,0.5968326735665296,20,54
Batman v Superman Dawn of Justice,2975590,0.0012348148148148186,0.5297024530842249,44,135
Panther,0114084,-0.22468543046357617,0.4661945530327617,48,151
Slash,4729990,-0.18808214285714286,0.5441212096811224,21,56
Blue Velvet,0090756,0.1268272727272727,0.4061821044077135,57,231
The Amityville Asylum,2216212,-0.13410927835051545,0.49167384908917,39,97
Rise of the Planet of the Apes,1318514,-0.05905942857142857,0.4238736449253877,45,175
Tusk,3099498,-0.2825765432098765,0.4124461635238531,23,81
Antitrust,0218817,0.23523960396039603,0.3227806941741006,69,202
Miles Ahead,0790770,0.012355421686746984,0.5686146827115692,31,83
The Thing from Another World,0044121,0.24985172413793105,0.575095336979786,18,58
The Place Beyond the Pines,1817273,0.03120094339622642,0.41619867198024213,66,212
The Magic Toyshop,0097806,0.0,0.0,0,1
Big,0094737,0.0,0.0,0,1
E T the Extra Terrestrial,0083866,0.023487224669603523,0.29462856181916974,63,227
Lagaan Once Upon a Time in India,0169102,0.22617142857142855,0.6849270020408164,3,7
Are We Done Yet,0422774,0.4258921052631579,0.5374793707271467,16,38
One Soldier s Story The Journey of American Sniper,4781700,-0.22411279999999997,0.42290589951616003,41,125
Avatar,0499549,0.25284513274336284,0.6016948122108231,43,113
The Kids Are All Right,0842926,0.2441554455445545,0.4292758262327224,40,101
Ticker,0196158,-0.14625555555555553,0.39813400044893377,26,99
The Transformers The Movie,0092106,-0.3237833333333333,0.4668765380555555,18,48
The Damned United,1226271,0.22883939393939395,0.44513168966023875,44,132
Courage Under Fire,0115956,-0.2712899999999999,0.5667672417571428,19,70
Grosse Pointe Blank,0119229,0.14596761904761907,0.4657173035229024,32,105
The Talisman,0685134,-0.27680852713178294,0.4775762539582958,51,129
The Imitation Game,2084970,0.16397927927927927,0.48137734884993105,44,111
The Legend of Zorro,0386140,0.0022158192090395478,0.44054027579495036,63,177
The Unborn,1139668,-0.18194499999999997,0.5728648564750001,8,20
Fallen Angels,0112913,-0.02072254901960784,0.4662619354719338,35,102
The Maltese Falcon,0033870,0.2468340909090909,0.4730475208832644,14,44
Things to Come,0028358,-0.38116666666666665,0.5329936455555555,1,6
Possessions,0227291,0.1723897810218978,0.492614868800682,46,137
Chernobyl 1x2 REACTION Please Remain Calm,11524920,-0.26544999999999996,0.48294151990740736,19,54
The Warriors,0080120,-0.03526764705882352,0.49855106669838534,33,102
Sorority Row,1232783,0.250992857142857,0.6323220538061225,29,70
12 Angry Men,0118528,-0.015343478260869568,0.6285174746313801,15,46
Wonderland,0335563,-0.12738105263157892,0.3998656202725761,44,190
Love Actually,0314331,0.38426506024096385,0.4511005064900566,59,166
Flight 29 Down,0433275,-0.33701754385964916,0.36655608600800244,32,114
Edges of Darkness,1442498,0.05515444444444444,0.5578842089246914,40,90
The Man Who Knew Too Much,0049470,0.18030059171597634,0.34730986727775637,57,169
The Paradise Virus,0352696,-0.15241069182389938,0.4509236505146157,72,159
40 Year Old Virgin,0887155,0.4126185185185185,0.46651796965706444,32,81
Beautiful Girls,0115639,0.3329694117647059,0.5263985435349481,36,85
The Town,0840361,-0.13452653061224487,0.4078408580036096,55,147
Fortuosity,0502412,-0.34823777777777776,0.4480198667950618,31,90
The Front Runner,7074886,0.19151896551724135,0.4280384332609989,44,116
